wave,label,symbol,session_start,session_end,vt,sl_atr,tp_atr,total_net_profit,profit_factor,total_trades,max_dd_pct,sharpe,recovery_factor,win_rate,source_path
w3,W3_mom_long_S0812,EURUSD,8,12,0.5,0.5,2.0,59.2,1.52,26,4.19,38.27,1.06,38.46,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w3_W3_mom_long_S0812_20260422_002859.htm
w4,W4_atr_S1317_VT020_SL030,EURUSD,13,17,0.2,0.3,2.0,-997.89,0.74,1629,99.81,-5.0,-0.88,14.73,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_atr_S1317_VT020_SL030_20260422_004020.htm
w4,W4_atr_S1317_VT035_SL050,EURUSD,13,17,0.35,0.5,2.0,-277.99,0.83,365,38.02,-5.0,-0.6,27.4,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_atr_S1317_VT035_SL050_20260422_004128.htm
w4,W4_atr_S1317_VT050_SL070,EURUSD,13,17,0.5,0.7,2.0,-5.89,0.99,135,11.33,-1.06,-0.05,36.3,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_atr_S1317_VT050_SL070_20260422_004247.htm
w4,W4_atr_S1416_VT020_SL030,EURUSD,14,16,0.2,0.3,2.0,-969.87,0.65,1085,97.15,-5.0,-0.92,12.44,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_atr_S1416_VT020_SL030_20260422_004405.htm
w4,W4_atr_S1416_VT035_SL050,EURUSD,14,16,0.35,0.5,2.0,-172.57,0.88,290,31.89,-5.0,-0.43,27.24,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_atr_S1416_VT035_SL050_20260422_004503.htm
w4,W4_atr_S1416_VT050_SL070,EURUSD,14,16,0.5,0.7,2.0,-25.08,0.95,124,12.63,-4.87,-0.18,34.68,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_atr_S1416_VT050_SL070_20260422_004601.htm
w4,W4_mom_S0812_VT020_SL030,EURUSD,8,12,0.2,0.3,2.0,-998.08,0.85,1641,99.87,-5.0,-0.65,15.36,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_mom_S0812_VT020_SL030_20260422_004700.htm
w4,W4_mom_S0812_VT035_SL050,EURUSD,8,12,0.35,0.5,2.0,-389.68,0.68,250,44.31,-5.0,-0.79,22.4,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_mom_S0812_VT035_SL050_20260422_004828.htm
w4,W4_mom_S0812_VT050_SL070,EURUSD,8,12,0.5,0.7,2.0,25.65,1.26,26,3.8,21.28,0.57,42.31,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w4_W4_mom_S0812_VT050_SL070_20260422_004956.htm
w5,W5_atr_GBPUSD_S1317_VT050_SL050,GBPUSD,13,17,0.5,0.5,2.0,-1.45,1.0,80,6.62,-0.37,-0.02,30.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w5_W5_atr_GBPUSD_S1317_VT050_SL050_20260422_072126.htm
w6,W6_atr_GBP_S1317_VT020_SL020,GBPUSD,13,17,0.2,0.2,2.0,-997.59,0.39,1257,99.76,-5.0,-1.0,8.51,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p1_ebb_w6_W6_atr_GBP_S1317_VT020_SL020_20260422_072539.htm
